year,month,month_name,store_key,store_name,city,district,net_revenue,gross_margin,labor_cost,labor_pct_of_revenue,contribution,num_transactions
2025,6,June     ,16,SuperChampion Petah Tikva,Petah Tikva,Central,899591.15,267776.29,96149.46,10.69,171626.83,20775
2025,8,August   ,16,SuperChampion Petah Tikva,Petah Tikva,Central,982375.39,291272.69,90725.14,9.24,200547.55,22131
2025,5,May      ,23,SuperChampion Tiberias,Tiberias,Northern,417788.80,122588.01,88858.00,21.27,33730.01,9888
2025,11,November ,15,SuperChampion Raanana,Raanana,Central,373526.59,110315.72,83091.77,22.25,27223.95,8655
2025,3,March    ,10,SuperChampion Grand Canyon,Haifa,Haifa,976020.83,288464.79,49335.60,5.05,239129.19,21969
2024,4,April    ,11,SuperChampion Hadar,Haifa,Haifa,430253.93,127338.81,45506.76,10.58,81832.05,9805
2025,7,July     ,24,SuperChampion Afula,Afula,Northern,415235.02,122522.22,94354.85,22.72,28167.37,9578
2025,5,May      ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,404385.66,119214.18,66230.49,16.38,52983.69,9268
2024,1,January  ,22,SuperChampion Nazareth,Nazareth,Northern,409113.87,121013.32,35348.69,8.64,85664.63,9368
2025,9,September,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,863103.59,255307.34,90557.32,10.49,164750.02,19806
2025,1,January  ,14,SuperChampion Kfar Saba,Kfar Saba,Central,439203.88,130407.25,105184.09,23.95,25223.16,9862
2024,6,June     ,15,SuperChampion Raanana,Raanana,Central,402037.91,119799.53,55037.68,13.69,64761.85,9264
2024,6,June     ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,845719.72,249816.11,63209.16,7.47,186606.95,20402
2024,9,September,14,SuperChampion Kfar Saba,Kfar Saba,Central,404036.39,118742.81,89142.85,22.06,29599.96,9590
2025,11,November ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,902584.32,265740.28,92054.09,10.20,173686.19,20401
2024,2,February ,19,SuperChampion Ashdod,Ashdod,Southern,928690.19,272363.05,66772.78,7.19,205590.27,20801
2025,3,March    ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,418569.72,120910.61,88442.24,21.13,32468.37,9604
2024,3,March    ,24,SuperChampion Afula,Afula,Northern,414587.22,122609.23,58155.06,14.03,64454.17,9641
2024,11,November ,10,SuperChampion Grand Canyon,Haifa,Haifa,965309.29,284956.39,33841.09,3.51,251115.30,22338
2025,5,May      ,5,SuperChampion Holon,Holon,Tel Aviv,393287.74,116618.41,75673.25,19.24,40945.16,8969
2025,4,April    ,18,SuperChampion Rehovot,Rehovot,Central,429603.81,127053.25,57517.56,13.39,69535.69,9967
2025,8,August   ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,413304.55,120940.15,95250.60,23.05,25689.55,9583
2024,8,August   ,19,SuperChampion Ashdod,Ashdod,Southern,955189.56,281925.01,86892.47,9.10,195032.54,21147
2025,4,April    ,15,SuperChampion Raanana,Raanana,Central,445838.75,131411.78,80091.73,17.96,51320.05,10299
2024,9,September,15,SuperChampion Raanana,Raanana,Central,379566.08,110199.49,74003.52,19.50,36195.97,9023
2025,9,September,23,SuperChampion Tiberias,Tiberias,Northern,416736.52,123613.61,94121.91,22.59,29491.70,9772
2025,8,August   ,14,SuperChampion Kfar Saba,Kfar Saba,Central,393088.01,117250.90,94906.08,24.14,22344.82,8891
2025,4,April    ,24,SuperChampion Afula,Afula,Northern,454476.11,134490.86,86429.71,19.02,48061.15,10329
2025,4,April    ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,410662.38,119389.92,108579.83,26.44,10810.09,9521
2025,10,October  ,5,SuperChampion Holon,Holon,Tel Aviv,428689.55,128517.47,69311.43,16.17,59206.04,9830
2024,7,July     ,11,SuperChampion Hadar,Haifa,Haifa,412073.70,121054.16,48241.37,11.71,72812.79,10003
2024,1,January  ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,408270.64,120456.83,52542.61,12.87,67914.22,9658
2024,12,December ,15,SuperChampion Raanana,Raanana,Central,414961.34,121217.49,89180.54,21.49,32036.95,9790
2024,6,June     ,7,SuperChampion Malha,Jerusalem,Jerusalem,829143.36,245066.83,73913.32,8.91,171153.51,19663
2025,8,August   ,11,SuperChampion Hadar,Haifa,Haifa,423085.48,124321.05,72066.60,17.03,52254.45,9953
2024,1,January  ,14,SuperChampion Kfar Saba,Kfar Saba,Central,391412.95,116102.82,92724.25,23.69,23378.57,9284
2024,5,May      ,21,SuperChampion Eilat,Eilat,Southern,467677.36,138463.30,57546.32,12.30,80916.98,10293
2024,1,January  ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,409926.68,120800.59,47582.62,11.61,73217.97,9503
2024,8,August   ,23,SuperChampion Tiberias,Tiberias,Northern,431957.40,127841.85,85094.62,19.70,42747.23,9950
2024,6,June     ,13,SuperChampion Ir Yamim,Netanya,Central,374523.48,110803.50,114518.83,30.58,-3715.33,8686
2024,5,May      ,5,SuperChampion Holon,Holon,Tel Aviv,426991.35,127021.51,64872.21,15.19,62149.30,9839
2025,8,August   ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,396184.42,117683.39,66367.13,16.75,51316.26,8942
2024,2,February ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,400802.03,117949.43,67705.49,16.89,50243.94,9275
2025,8,August   ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,407594.54,120127.38,66653.46,16.35,53473.92,9505
2024,12,December ,10,SuperChampion Grand Canyon,Haifa,Haifa,962944.87,286404.90,45376.41,4.71,241028.49,21834
2025,6,June     ,24,SuperChampion Afula,Afula,Northern,407542.95,121701.87,89182.51,21.88,32519.36,8709
2024,12,December ,16,SuperChampion Petah Tikva,Petah Tikva,Central,943687.98,276174.57,103624.63,10.98,172549.94,22278
2025,1,January  ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,421737.54,124262.97,65803.39,15.60,58459.58,9629
2024,4,April    ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,408585.20,121426.86,70271.90,17.20,51154.96,9275
2024,4,April    ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,395536.61,115500.97,51556.36,13.03,63944.61,9037
2024,11,November ,21,SuperChampion Eilat,Eilat,Southern,430191.81,127775.35,58666.06,13.64,69109.29,10115
2024,2,February ,10,SuperChampion Grand Canyon,Haifa,Haifa,922802.77,268991.84,20156.60,2.18,248835.24,21159
2025,2,February ,24,SuperChampion Afula,Afula,Northern,375860.68,110773.84,65395.94,17.40,45377.90,8405
2025,9,September,20,SuperChampion Beer Sheva,Beer Sheva,Southern,876852.15,259899.32,87714.03,10.00,172185.29,19417
2025,12,December ,11,SuperChampion Hadar,Haifa,Haifa,419812.19,122196.91,74422.84,17.73,47774.07,10095
2025,1,January  ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,446090.06,130607.05,92666.11,20.77,37940.94,9790
2024,4,April    ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,403877.06,119127.37,97089.20,24.04,22038.17,9486
2024,10,October  ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,360998.31,106023.36,83491.02,23.13,22532.34,8545
2024,11,November ,15,SuperChampion Raanana,Raanana,Central,407692.76,120976.56,77132.63,18.92,43843.93,9491
2025,4,April    ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,408780.71,121755.39,68710.18,16.81,53045.21,9443
2024,8,August   ,21,SuperChampion Eilat,Eilat,Southern,426572.46,126786.81,59537.10,13.96,67249.71,9564
2025,6,June     ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,386590.25,116385.16,70572.02,18.25,45813.14,9085
2025,10,October  ,15,SuperChampion Raanana,Raanana,Central,429042.67,127910.76,71606.91,16.69,56303.85,9541
2024,9,September,13,SuperChampion Ir Yamim,Netanya,Central,412530.07,122666.33,121678.83,29.50,987.50,9660
2025,4,April    ,23,SuperChampion Tiberias,Tiberias,Northern,443632.32,131915.93,91794.46,20.69,40121.47,10710
2024,1,January  ,23,SuperChampion Tiberias,Tiberias,Northern,419725.63,123416.13,81670.08,19.46,41746.05,9560
2024,5,May      ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,214952.79,63826.38,62040.57,28.86,1785.81,5155
2024,2,February ,14,SuperChampion Kfar Saba,Kfar Saba,Central,391314.80,116058.56,81980.70,20.95,34077.86,8919
2024,8,August   ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,956597.46,284938.04,58812.94,6.15,226125.10,21403
2025,4,April    ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,425903.63,126744.66,94619.43,22.22,32125.23,9776
2024,9,September,10,SuperChampion Grand Canyon,Haifa,Haifa,1000578.16,297640.55,27502.77,2.75,270137.78,21763
2025,11,November ,13,SuperChampion Ir Yamim,Netanya,Central,370297.10,110302.24,119509.46,32.27,-9207.22,8584
2024,10,October  ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,379365.74,113470.96,62062.81,16.36,51408.15,8698
2025,7,July     ,10,SuperChampion Grand Canyon,Haifa,Haifa,992173.23,297218.20,71708.57,7.23,225509.63,22129
2024,3,March    ,14,SuperChampion Kfar Saba,Kfar Saba,Central,425745.04,125632.76,85466.69,20.07,40166.07,9751
2024,11,November ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,853411.54,247872.27,74586.63,8.74,173285.64,19692
2024,8,August   ,5,SuperChampion Holon,Holon,Tel Aviv,418337.82,123104.94,69373.79,16.58,53731.15,9797
2025,1,January  ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,421089.01,126395.62,97048.54,23.05,29347.08,9653
2024,3,March    ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,422250.09,125319.97,97873.44,23.18,27446.53,9502
2024,9,September,4,SuperChampion Givatayim,Givatayim,Tel Aviv,395582.33,117279.38,72322.41,18.28,44956.97,9045
2025,9,September,13,SuperChampion Ir Yamim,Netanya,Central,405186.65,120592.08,117657.21,29.04,2934.87,9028
2024,4,April    ,7,SuperChampion Malha,Jerusalem,Jerusalem,894830.89,265240.30,59697.14,6.67,205543.16,20699
2025,9,September,5,SuperChampion Holon,Holon,Tel Aviv,377897.57,113827.90,79643.64,21.08,34184.26,8655
2024,8,August   ,13,SuperChampion Ir Yamim,Netanya,Central,386044.42,113564.41,112871.80,29.24,692.61,9013
2024,9,September,22,SuperChampion Nazareth,Nazareth,Northern,413060.11,123252.27,84955.75,20.57,38296.52,9672
2024,5,May      ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,410866.89,122907.55,57384.37,13.97,65523.18,9469
2025,5,May      ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,401332.87,119126.39,66198.30,16.49,52928.09,9234
2024,4,April    ,16,SuperChampion Petah Tikva,Petah Tikva,Central,889351.03,262767.87,70245.34,7.90,192522.53,19541
2024,11,November ,5,SuperChampion Holon,Holon,Tel Aviv,381424.35,113297.87,68402.12,17.93,44895.75,8899
2024,3,March    ,15,SuperChampion Raanana,Raanana,Central,425385.08,125895.03,56202.31,13.21,69692.72,10171
2024,7,July     ,13,SuperChampion Ir Yamim,Netanya,Central,412308.00,119681.88,123412.98,29.93,-3731.10,9688
2025,11,November ,16,SuperChampion Petah Tikva,Petah Tikva,Central,863992.84,253771.49,95926.90,11.10,157844.59,19726
2025,8,August   ,15,SuperChampion Raanana,Raanana,Central,403508.05,118134.09,78128.04,19.36,40006.05,9860
2024,11,November ,19,SuperChampion Ashdod,Ashdod,Southern,921049.78,269636.44,85711.12,9.31,183925.32,20924
2025,11,November ,5,SuperChampion Holon,Holon,Tel Aviv,381968.16,111401.20,81137.80,21.24,30263.40,9085
2024,6,June     ,19,SuperChampion Ashdod,Ashdod,Southern,950200.50,283631.34,71838.48,7.56,211792.86,21674
2025,6,June     ,23,SuperChampion Tiberias,Tiberias,Northern,404002.01,119595.76,95024.12,23.52,24571.64,9594
2024,6,June     ,5,SuperChampion Holon,Holon,Tel Aviv,399747.17,117629.29,70712.70,17.69,46916.59,9012
2025,9,September,18,SuperChampion Rehovot,Rehovot,Central,399505.97,117794.96,65985.28,16.52,51809.68,9183
2024,4,April    ,13,SuperChampion Ir Yamim,Netanya,Central,367047.88,108973.30,116980.62,31.87,-8007.32,8148
2024,10,October  ,21,SuperChampion Eilat,Eilat,Southern,422182.66,124949.21,58985.07,13.97,65964.14,9523
2025,7,July     ,11,SuperChampion Hadar,Haifa,Haifa,402103.69,118612.43,80212.99,19.95,38399.44,9165
2024,12,December ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,1024257.53,300994.40,81654.96,7.97,219339.44,22894
2024,1,January  ,16,SuperChampion Petah Tikva,Petah Tikva,Central,912027.83,265272.19,75546.61,8.28,189725.58,21218
2024,6,June     ,21,SuperChampion Eilat,Eilat,Southern,421764.35,124801.95,61103.86,14.49,63698.09,9508
2025,9,September,11,SuperChampion Hadar,Haifa,Haifa,422926.66,124153.91,74679.97,17.66,49473.94,9750
2024,7,July     ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,391862.15,115471.65,104756.35,26.73,10715.30,9007
2025,11,November ,19,SuperChampion Ashdod,Ashdod,Southern,859030.52,254893.84,91819.59,10.69,163074.25,19121
2025,1,January  ,13,SuperChampion Ir Yamim,Netanya,Central,411254.56,121938.33,124616.30,30.30,-2677.97,9719
2024,6,June     ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,402191.76,120320.89,74013.44,18.40,46307.45,9429
2024,6,June     ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,386076.20,114007.97,63967.34,16.57,50040.63,8551
2025,12,December ,7,SuperChampion Malha,Jerusalem,Jerusalem,954502.14,283421.97,102546.64,10.74,180875.33,21749
2024,1,January  ,19,SuperChampion Ashdod,Ashdod,Southern,923750.36,271418.27,71988.59,7.79,199429.68,21438
2024,1,January  ,10,SuperChampion Grand Canyon,Haifa,Haifa,963880.97,283533.87,21880.48,2.27,261653.39,22019
2025,3,March    ,23,SuperChampion Tiberias,Tiberias,Northern,401822.19,118419.10,93985.70,23.39,24433.40,9237
2024,9,September,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,944983.83,279428.38,67227.34,7.11,212201.04,21641
2024,2,February ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,381821.87,111564.11,42205.65,11.05,69358.46,8789
2024,6,June     ,22,SuperChampion Nazareth,Nazareth,Northern,406892.89,119252.55,73272.28,18.01,45980.27,9265
2024,8,August   ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,375323.85,111150.16,67541.66,18.00,43608.50,8822
2025,8,August   ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,429562.98,127342.80,84576.35,19.69,42766.45,10150
2024,12,December ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,387745.67,114337.02,99079.15,25.55,15257.87,8756
2025,12,December ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,916882.58,271428.91,96009.22,10.47,175419.69,20780
2025,11,November ,11,SuperChampion Hadar,Haifa,Haifa,440285.58,130755.24,75855.28,17.23,54899.96,10156
2024,12,December ,5,SuperChampion Holon,Holon,Tel Aviv,398241.96,117104.09,79121.95,19.87,37982.14,9190
2025,11,November ,22,SuperChampion Nazareth,Nazareth,Northern,374077.75,112101.62,98733.57,26.39,13368.05,8628
2025,12,December ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,416310.43,123489.39,110601.07,26.57,12888.32,10109
2025,10,October  ,23,SuperChampion Tiberias,Tiberias,Northern,447204.77,132831.98,81498.29,18.22,51333.69,9973
2024,2,February ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,371686.74,108483.81,61342.68,16.50,47141.13,8470
